区分,園名,0歳,1歳,2歳,3歳,4歳,5歳,備考
認可,坂本保育園,48,51,49,51,非公開,非公開,
認可,玉姫保育園,,空有,空有,非公開,―,空有,
認可,谷中保育園,53,50,41,非公開,―,空有,
認可,千束保育園,50,50,32,51,―,非公開,
認可,浅草橋保育園,48,52,47,47,空有,空有,
認可,台東保育園,空有,非公開,空有,51,空有,空有,
認可,三筋保育園,,50,50,非公開,非公開,―,
認可,待乳保育園,空有,非公開,空有,空有,空有,空有,
認可,東上野保育園,50,51,非公開,52,―,―,
認可,松が谷保育園,,51,51,非公開,―,―,
認可,東上野乳児保育園,空有,50,空有,,,,
こども園,石浜橋場こども園,,空有,空有,―,―,―,
こども園,ことぶきこども園,50,51,非公開,非公開,51,―,
こども園,たいとうこども園,50,55,51,―,非公開,―,
緊急保育室,御徒町保育室,,空有,―,非公開,空有,非公開,
緊急保育室,北上野保育室,,48,非公開,空有,―,―,
認可,愛隣保育園,48,非公開,46,51,空有,空有,
認可,康保会保育園,,,,50,非公開,―,
認可,清川保育園,,空有,空有,37,空有,空有,
認可,共生保育園,空有,33,空有,非公開,空有,―,
認可,立華学苑,,50,46,非公開,―,―,
認可,康保会乳児保育所,空有,非公開,非公開,,,,
認可,花川戸保育園,,50,空有,―,―,―,
認可,上野保育園,,51,非公開,―,―,―,
認可,ゆらりん竹町保育園,空有,―,非公開,非公開,非公開,空有,
認可,アスクくらまえ保育園,48,50,―,53,―,―,
認可,チェリッシュ浅草保育園,53,52,―,52,―,―,
認可,ぽけっとランド浅草橋保育園,空有,52,―,51,―,空有,
認可,チェリッシュ上野の森保育園,48,50,―,52,非公開,空有,
認可,あい・あい保育園入谷園,48,50,空有,―,―,―,
こども園,はぐはぐキッズこども園東上野,48,53,非公開,非公開,―,―,
認可,アスクりゅうほく保育園,48,50,非公開,非公開,―,空有,
認可,あい・あい保育園浅草園,48,51,非公開,―,空有,空有,
認可,スターキッズ保育園,,,,空有,空有,空有,
こども園,忍岡こども園,50,53,非公開,非公開,―,―,
認可,LIFE　SCHOOL根岸 こどものいえ,48,50,30,非公開,空有,空有,
認可,レイモンド鳥越保育園,48,55,―,52,非公開,―,
認可,ソラスト竜泉保育園,48,非公開,―,非公開,―,空有,
認可,ミアヘルサ保育園ひびき浅草,48,50,空有,空有,,,
認可,クオリスキッズ浅草橋保育園,48,50,非公開,非公開,―,空有,
認可,さくらさくみらい入谷,50,非公開,非公開,非公開,―,―,
認可,えがおの森保育園・あさくさ,48,53,非公開,非公開,―,空有,
認可,こどもヶ丘保育園根岸園,48,50,空有,―,―,―,
認可,あさくさあおぞらナーサリースクール,48,50,空有,空有,空有,空有,
認可,チェリッシュおひさま保育園,,50,46,非公開,―,空有,
認可,ポピンズナーサリースクール蔵前,48,50,―,54,―,空有,
認可,ミアヘルサ保育園ひびき御徒町,48,52,―,51,―,空有,
認可,さくらさくみらい下谷,48,50,空有,39,空有,空有,
認可,さくらさくみらい蔵前,,50,空有,47,空有,空有,
小規模,ウィズブック保育園入谷,48,48,空有,,,,
小規模,はぐはぐキッズ浅草橋アネックス,,47,空有,,,,
小規模,はぐはぐキッズ浅草橋,空有,非公開,非公開,,,,
小規模,おうち保育園新おかちまち,空有,非公開,―,,,,
小規模,ベベ・ア・パリ保育園東上野,空有,50,非公開,,,,
小規模,うれしい保育園谷中,48,47,空有,,,,
小規模,ビーフェア上野御徒町保育園,空有,空有,―,,,,
小規模,蔵前らる小規模保育園,48,48,―,,,,
小規模,ふくろう保育園,空有,48,非公開,,,,
小規模,かるがもハウス浅草橋,空有,30,―,,,,
小規模,フレンドキッズランド三ノ輪園,30,48,空有,,,,
小規模,シンシア保育園,空有,空有,非公開,,,,
小規模,みつな保育園,,48,非公開,,,,
小規模,ベベ・ア・パリ保育園未来,,32,空有,,,,
小規模（事業）,ヤクルト浅草松が谷保育園,,40,非公開,,,,
小規模（事業）,ことぶきクローバーズ保育園,46,非公開,―,,,,
小規模（家庭）,ふたみ家庭保育室,30,30,30,,,,
小規模（家庭）,ＫＡＹＯこども室,空有,空有,空有,,,,
小規模（家庭）,渡部家庭保育室,空有,空有,空有,,,,
小規模（家庭）,家庭保育室Ｍｉｍｉ,空有,空有,空有,,,,
小規模（家庭）,つぼみ保育室,空有,空有,空有,,,,
小規模（家庭）,家庭保育室ふわふわ,空有,空有,空有,,,,
,,,,,,,,○表中の斜線は、該当クラスなしを示しています。
,,,,,,,,○表中の「－」は、募集がなかったことを示しています。
,,,,,,,,○内定者が１～２名の場合、個人情報保護のため、非公開とさせていただきます。（表中で「非公開」と表示）
,,,,,,,,○表中の「空有」は、一次調整後の状況です。最新の状況は区ホームページをご参照ください。
,,,,,,,,○指数は一次調整分のものです（二次調整分は含んでおりません）。
